,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-13,2020-04-14
TGT,0.01598343506336608,0.0065771225792341514,0.020132562659904707,-0.0033758054005075255,0.004082001118979495,0.01185011070427544,-0.0024788948849795434,0.012168753116762687,0.0014394472958993987,-0.013949926373534094,0.016038714653389574,-0.003734306156804701,0.007411225882240302,-0.010569862873005209,-0.027604509668024968,-0.018105138070003468,-0.009487986638234469,-0.045545086208606755,-0.02480578052089466,0.05883500962166499,-0.02952515082177032,0.018707521485985756,-0.01715825420018946,-0.00018871089966487897,-0.018121707475413196,0.0413343137887634,-0.025385498047687527,-0.12275047685883889,0.09069306964951629,-0.07156998116387425,0.10491526729699174,-0.00781629556142649,-0.02256367283660099,-0.030845720615055305,-0.0072896735465051155,0.04002501428742722,-0.09466991444815798,0.05525048923696274,-0.013844058671061088,0.013404914385445554,-0.031663224274120494,0.024739066157818845,-0.009551792114197988,-0.018969922783181437,0.05336510049966825,0.007691617507426862,0.06482794238610645,-0.004109628586640435,0.0046063783604402,0.035345871986765864
TJX,0.020325230214793377,0.017264311807181798,0.01533931266824795,-0.006428746302924115,-0.0071174919165508665,0.004398766976452029,0.01313889266731505,0.01703345533410716,0.0011061502614591046,0.00031560486942106003,0.0012622077200055148,0.005515313892219265,0.0009403228213167303,-0.008767916375142182,-0.024640608511653395,-0.03287440948550402,0.07150017230404226,-0.06047815718744687,-0.005322603345368604,0.039966402493254005,-0.025405912541582976,0.02738828715918018,-0.043359612903070666,-0.016954845473988622,-0.023224077089434414,0.013461539521521848,-0.04071071030308038,-0.11238988482886625,0.044773272487077964,-0.20399469548360305,0.035566320951527786,-0.03904964255491472,0.019583919139756212,-0.1027611255699219,-0.01632332421566407,0.11643093815324046,0.07407405273435996,0.08802186085093466,-0.024186807548479572,0.016025628070288844,0.005467862260793543,-0.06672232396935485,-0.018601569270588425,-0.06462675705598842,0.12573263883142638,0.012361685100960917,0.052056476106733474,-0.00610869892144017,-0.019668192260327788,0.04952999749372622
TMO,0.016443762676734197,0.023936700690547097,0.020032991126381683,-0.00147356204188398,-0.017439716708877007,0.023696456746311823,0.011498985389050587,-0.009503275747253404,0.003048655420903046,0.010727525696426765,-0.005365853791007291,0.007024973152041314,-0.01083182278807504,-0.0033327135754834813,-0.0352003885354184,-0.04183808535926403,-0.001518096826791937,-0.039073582872150125,-0.02113906173212088,0.04869316661637302,0.017707388808041014,0.0524552953113302,-0.042095305130426364,-0.005496976010626375,-0.05084052042060305,0.04181499767341568,-0.05953880469363759,-0.017485650114686613,0.05638867755613797,-0.06920567256259469,0.06071238687636815,0.02251037508732412,-0.07307433544943409,-0.00879496705069105,-0.0828752560686351,0.10470006920791142,-0.03669821977463472,0.04221895082140503,-0.031114249991683884,0.03871102951767713,-0.004772586182282046,-0.029619142427322,0.04487628494635465,-0.01857046343416202,0.07721212343911943,-0.024408188326917046,0.035639855629428174,0.03330622067255318,-0.006490634091566472,0.03504365996445857
TPR,0.010089273051195446,0.04494827219562425,0.043749853665260074,0.021486406784273715,-0.035517205278871034,0.0193063918806613,0.002455324701835071,0.031140597267750758,-0.021716901368155517,0.013180661814460093,-0.0380007367574432,-0.0021351592357413685,0.0274606388700831,-0.028462307061450476,-0.08717393567488496,-0.04696663388193667,-0.034086334204939894,-0.02423476870743957,0.02178660111988928,0.010234622317917719,-0.013930089854667371,0.04152392859968912,-0.07385800916371543,-0.02340221511818119,-0.15069125585662935,0.03960946662501952,-0.08298544168402133,-0.14570295302099423,0.08127899611950973,-0.29266791136035264,0.14895489166676912,0.012888538936091543,-0.048652724428844385,-0.05271437470118967,-0.12126254116487312,0.2967865136178178,0.08600577110391838,0.017449636409302416,-0.08245380845707773,-0.05032348249586982,-0.019682101824110565,-0.14517373857924099,-0.005419949531664914,0.007266130097620449,0.17583409712510978,0.10966257819692471,0.034554238194331344,0.04876416024813701,-0.059235620718542714,0.04129978668436585
TROW,0.007414245233480887,0.017023569492414126,0.008259665472651667,-0.0012324089106388048,0.0034112187212995693,0.0017363361996274307,0.0009387052934306528,-0.0009378249521836413,-0.01487574805548908,0.007110236447497087,0.0028384581842364476,0.00929048121795173,-0.00949241335551776,-0.010672295159824818,-0.03316934083892731,-0.03954467309081866,0.0005532425390797346,-0.05347140694965247,-0.015270169208520534,0.06329960432885184,-0.01585912699558034,0.0426754860038423,-0.052423011312403234,-0.04311120352023534,-0.11229133454847295,0.08828648710498888,-0.064456033625235,-0.13068619322806296,0.18165785140129898,-0.09112073119249098,0.10825209612890374,0.002775177455144995,-0.05350073966602331,-0.11957892488471711,-0.05446110650917235,0.04776407434668695,0.03899449740711325,0.08979453538895998,-0.02871512552580513,0.00406373666186588,-0.011939596975629518,-0.038709748498387264,0.03483535664095094,-0.02007399364530016,0.07889466739793627,-0.0077896362148531795,0.035427057660203154,-0.0033175037031533128,-0.027767042848717227,-0.003032069656928593
TRV,0.0151192874254793,-0.007709006454955203,0.031678910091817114,-0.002046847822189446,-0.0035898676751832115,0.001544126138896429,0.00851566476335841,-0.012156104543175172,0.008621087634807179,0.006429015959511064,-0.013646791093279709,-0.01008263683848376,-0.003940251173295883,0.008807629232874259,-0.007694800867732665,-0.024828566841452404,-0.017050224458659002,-0.034847406465368325,-0.03441333081898301,0.06568741584952886,-0.018562019670253282,0.04963693248880463,-0.026685998924948717,-0.024839949908098236,-0.06305427817109943,0.029001597965926385,-0.05829201689688035,-0.09254016328680537,0.051575751479036924,-0.20800364449812903,0.13290242224379245,-0.1526812260448911,0.05361727651616266,0.03996741491434386,-0.012847693700319684,0.06088711701442828,-0.016641639264885155,0.07040564378853031,0.012972583676855942,0.026413355634291813,-0.031582123841163545,-0.041771591023235355,0.020903454595259108,-0.0339541128272296,0.05421245812790776,0.018185358086689307,0.04127814503852667,0.045740318632536026,-0.030253249521843384,0.015034708527314145
TSN,0.007745261096550493,0.007445740428715153,0.0026226419675154933,-0.05159945665818433,0.007271182338204563,0.015308140974412243,-0.007232287426852779,-0.007778874439156924,0.010204125080900628,-0.008253212244740293,-0.004471399305733037,-0.028945911422410875,0.01246330888200875,-0.012309886958541849,-0.028780637515306018,-0.051329484054931984,-0.008646029153423274,-0.02094237657726772,-0.019655657001674487,0.03995263758210488,-0.02891985418661247,0.027591395937453855,-0.04801832039427878,-0.0352187242118962,-0.058313864812520655,0.03088036281338402,-0.06708090580308368,-0.11528604294664158,0.013706429213115712,-0.142068170851961,0.06237539029505612,-0.07689113405348491,0.22702583996096193,-0.010883501173647225,0.0742257730111262,0.04149313680476707,0.05334223079267941,-0.03101736972704716,-0.043116231985826814,0.009557824485660227,-0.021639833576077683,-0.043718655483635516,-0.02150341878997264,-0.006094143426017773,0.04886661419513638,0.01629754562675778,0.018127995369749517,0.04331440354529348,0.020347959861580556,-0.012383409380780641
TXN,0.022793161310184606,0.024878556031816768,0.04720481651263042,0.0006040360738670536,-0.028825930276692446,0.0073814688841871146,0.008098802017123763,0.013159919716615898,0.0029450897951501798,-0.004517588371935499,-0.007336771635503059,0.014401052233548262,-0.012469033922491435,-0.022438700037802906,-0.055088660948736656,-0.025197575871925837,0.003463325066589862,-0.0476470042053706,0.00892765558744335,0.04231658550477846,-0.04337238413082534,0.04604182290164416,-0.03637133071584142,-0.013598364447756084,-0.07175680372986848,0.06740299532234317,-0.050124973722873056,-0.08422532304775254,0.08725508650232539,-0.11825720938785289,0.1352940732448582,-0.0579369524188279,0.015700085841700018,-0.039086322182899536,0.0086066533162652,0.0702966778275822,-0.058845953035557286,0.08672851292069272,-0.06737185372248977,0.015124264779074581,-0.020486168733066523,-0.03042115214871166,0.05294647425692611,-0.019996037441751158,0.0898178864684882,-0.024779587161784855,0.03679644251344105,-0.022510702293477847,-0.00018579109627792079,0.030463587667733716
TXT,0.007838050871844526,0.09958966872246111,0.0005892556321744902,-0.004908649961039013,0.0013812260149748123,-0.005714307713711508,-0.019024931364552633,-0.006464839372373965,-0.023993391125927355,0.0016666566900318536,-0.009151359620441446,-0.008606302088585482,0.008469224102884088,-0.005668602020720392,-0.03124997219350345,-0.05972110655566598,-0.029902618721452723,-0.023178128960902655,-0.006849180916269848,0.028817819448956783,-0.030404891975029824,0.0118520666837314,-0.09297234545921806,-0.03228401431569816,-0.13733654627028613,0.09861407677240575,-0.11293626547259361,-0.17074772246105263,0.162011110880254,-0.07623645417344571,0.04460971489672816,-0.08220635160794365,-0.01318336444448498,-0.12416504613823831,-0.028263696483745715,0.06094171392776193,0.13272420075401992,0.12293494105546698,-0.08689698928178868,0.03671782322370931,-0.03614018071543168,-0.06786647672054691,-0.014481207925166606,0.01428575223580153,0.10020131561534074,-0.02633510661388372,0.047708469543051635,0.05557541412320277,-0.06793470362819387,0.0003644324275378086
UNH,0.005762544509862577,0.024888998511402916,0.05301934933584729,-0.011057300975080064,-0.011078631525002214,-0.007572014689392281,0.013099616684837834,0.04363954499953304,-0.00421752018102084,-0.011317161125744435,0.011245688258125996,0.0104921175353474,-0.010415736913074514,-0.002317128014332037,-0.07842594922384216,-0.051837882749559916,-0.0014804836620443407,-0.03452488856360458,0.004095884127712557,0.07118754662500804,-0.04287641434666034,0.10719227201479509,-0.02232086125571775,0.003216050530111758,-0.036742160972669136,0.023990614827527068,-0.007928317438509747,-0.0985313469410436,0.09108414712652957,-0.1727687603431063,0.08522924887133199,-0.11121122088727897,0.012623419422796989,-0.06010012755317673,-0.05677924751778074,0.12798951278768023,0.06683344760676468,0.08912952416710218,-0.0506675615159895,0.036419817015588496,-0.0075612746601777525,-0.04835995427985351,0.013146875828051074,-0.04554146270118997,0.08213862271884431,-0.0012081500176590598,0.0797853948554128,-0.013814555982080479,-0.0023471602551681237,0.026526541813126858
UNM,0.012738844649578196,0.022937427891621676,0.0925858545837126,-0.02515720907922614,0.00033946464328638015,-0.003733732838722248,0.010221462543263504,0.018212445011284828,-0.00033121616184517144,-0.005632901891377773,-0.012662579078398295,0.0023627747489791684,0.01414117381324309,-0.004980006577408158,-0.07941284154087769,-0.07212756995762304,-0.01328115756017334,-0.053048309743021216,-0.025501734182518332,0.07421705200648043,-0.08985613295872397,0.014041192041971184,-0.06836855335696657,-0.04087334373105478,-0.16997580524650135,0.0752623565604611,-0.0515461183071827,-0.2236841875281842,0.14296242242954582,-0.19729214352272495,0.07951807587937654,-0.12202383102888781,-0.08305071752743232,-0.02402968204607736,-0.01704549270703337,0.26204244875870764,0.11679390374827747,0.08544095694158171,0.005667449743126607,-0.0018785491402122378,-0.058343805142142435,-0.12724848787438936,-0.010687065247621863,0.03858026913161705,0.057206360457944694,-0.0007024697474474761,0.06962009581053374,0.024326117238530065,0.010911488691441429,0.03873018301121167
UNP,0.004848808167811969,0.01636269176596694,0.010095788966967056,0.005510955699324249,-0.012250810946997093,0.004569380486761254,-0.007418715580928992,0.008510781862292927,-0.001190155615510724,-0.0034660227889140582,-0.010326210096438415,0.007688073440049736,-0.0005450212737799776,-0.009160188405159086,-0.027074703046456094,-0.03342763387232006,-0.030077612604794246,-0.031314652951189514,0.0011903745491343987,0.003316369629418725,-0.01871018721700135,0.030697852077726573,-0.04445950959279754,0.007292184499021692,-0.12973298386191967,0.08083055430592379,-0.035826190089106036,-0.06718001105814875,0.0893603163430261,-0.1303442649494242,0.028217461424825174,-0.10534098217226684,0.05709076922486789,-0.031319355399507254,-0.03224710770358663,0.13004214214314946,0.03134936358107043,0.07207888924617722,-0.024142219250171237,0.008270391301878455,0.0059915663988661105,-0.032260388478110746,0.038904210955514884,-0.022778674020853318,0.0669697669302769,-0.014136186135063955,0.026482068576961337,-0.005948318165715616,-0.012304233657942198,0.014091234174051115
UPS,-0.014393643507289888,0.013231563159055604,0.025730233186952667,0.004432363502762771,-0.03182802310411137,-0.0004847822033863247,0.017463852527610957,0.006388662446535687,-0.0028423922318403516,0.006746515399183917,0.004436128187269794,0.003194749563122823,-0.00262265587857613,-0.03324560085574524,-0.03374880855419693,-0.04660369201240511,-0.0018103609211891358,-0.037234637195562414,0.0027703599961770298,0.02497523641812771,-0.015633483316933483,0.049507047146088556,-0.0295344520894123,0.010861448934367468,-0.07255332214001387,0.06469380479329767,-0.052036311135661095,-0.02068418578581055,0.09353631737645207,-0.07609057309211886,0.11176200752008181,0.025519208685120143,-0.030324326293678094,-0.02898706516577898,-0.016691581272442968,0.0365614271793584,-0.007978257906828934,0.0558731302195985,-0.022649836625022512,0.0032813052102091955,-0.04517584310407863,-0.032433927663026996,0.02931727925120642,-0.03267423292975702,0.06311120199007858,-0.02895062580322383,0.06328707308513937,-0.0010123872133852574,-0.002735656334654557,0.03027838720164122
USB,0.008831143031152289,0.009871616286636353,0.018074409785057366,-0.00724630396753001,-0.003284642137566629,0.0003660423163529547,0.005307454514952736,-0.0021844764447384035,0.006750472331355839,-0.0012684534685838411,-0.012520480789044885,0.0060639190589086844,0.00091331987092369,-0.004562200504623193,-0.026947646852546248,-0.04446106972082309,-0.02089907835937166,-0.04309294790871987,-0.022727422641742878,0.037036726242868356,-0.04277396116874432,0.012147623496995053,-0.061723099487112965,-0.030379242494153913,-0.14440502954122048,0.06387637557377035,-0.06288797840415472,-0.12703690363624853,0.1736793003509287,-0.12210227865004797,0.0353087104542813,-0.021352494665770494,0.006363536535172631,-0.019271161336507192,-0.1117594367887883,0.07846529113887168,0.026602524243479087,0.12956597499113287,-0.011332375407267836,0.014710272571443861,-0.03958723727496405,-0.07314964478147246,0.023175600264880414,-0.04530137942036283,0.10195560446294705,0.002327881635019846,0.034833117891042376,0.0673209926817504,-0.033114232296679535,-0.0269094910982125
VFC,-0.0007229100915189246,0.012543575061958467,0.007742787261132422,-0.006146500434301427,-0.013320741151140902,0.004459865361159165,-0.004440063276749728,0.01169223619478954,0.001429974535404055,-0.004640262923560012,-0.011833653056392501,0.008830417219353626,0.0070742678777235835,-0.0032146255884591968,-0.0225752463626937,-0.05609195886993801,-0.011004597912226743,-0.04175935314520163,-0.016393487206770474,0.0368053837068536,-0.04206268929332457,0.03915511856800635,-0.03687238254361558,-0.020120355431333503,-0.10423531460057656,0.04439830340345918,-0.03744644117019935,-0.11750636750947052,0.07570012975481144,-0.06415859165663318,0.08901666008869791,-0.05570217864258242,-0.003839389723216735,-0.07533294774620958,-0.12864721454360195,0.1400305841292837,0.10719036209927024,0.06683894426411241,-0.06684962943753614,0.0339159766286945,-0.09489539646268641,-0.09985210970828895,0.009038666695548425,-0.004885889142936306,0.11845316208716139,0.030546923714212193,0.02928659160696001,0.021037985217545296,-0.028880259415683063,0.036000120347115416
VLO,-0.048155493282961426,0.012336099915011278,0.031265787693929514,-0.006087549754063448,0.009247182693309375,0.003926661013036181,0.010193088571253783,0.00949668834394668,-0.015757421751326217,-0.012664287086140313,-0.0014520142765105382,0.00860393182385999,0.01129418648611158,-0.015088611780088024,-0.0579010556074776,-0.04686296332330231,-0.036539552186143576,-0.0771054752924688,0.0009064394560487354,0.024452828377392155,-0.05053768172684592,-0.004500352008541153,-0.0381917295220181,0.02252834150656735,-0.07433831466858398,0.03510272407902715,-0.09975169084547542,-0.19220869342320224,0.13512276480510788,-0.16573150136170878,-0.06269522426299845,-0.10251150274809762,0.06824659011617018,0.03341347121886806,-0.15623377144214623,0.06223193894514467,0.14372293982690243,0.15064323371068644,-0.012280584649760451,0.04773534871878238,-0.03877937697265477,-0.09612006385320349,0.012195166369497912,-0.027951751174221218,0.14278613812099472,0.04143192062208567,0.07477588750961384,-0.029069617987252827,-0.007984217596997079,0.02515113045714501
VMC,0.020617333081987654,-6.916796261580149e-05,0.026774739763329336,-0.009298608741064474,0.004692835451532318,-0.00406186901864336,-0.01984753770936143,0.006657220157506583,-0.0005511265873002769,0.013027586021858939,-0.066680414868178,-0.012903699013087744,0.0028801920777212775,-0.013550248897455819,-0.02784608523473875,-0.038805113105744526,-0.030599202110517254,-0.01900505185709611,0.012971733955799092,0.046399318821183755,0.01780039859845517,0.05192071994111114,-0.03696278257814167,-0.01780342715791805,-0.06826739211496324,0.03587649512039248,-0.04382104292585409,-0.08919310562068938,0.024738555861327116,-0.13455413978674813,-0.021157747026386065,-0.17614793145108987,0.17765314131498489,-0.061738081026118,-0.031069233811426566,0.041697344395797975,0.1205521330476842,0.06768358736592872,-0.02944629290250045,0.026711034363215536,0.060965903882053585,-0.008790575235548492,0.001680350877372394,-0.07539600472212571,0.03991522630894151,0.04604054443652039,0.04679395931457053,0.0011507966230088762,-0.03244929484082881,0.02778041441442869
